track_name,artist,year,views,is_hit,genre,listeners,playcount,tags,lyric_positivity,slang_count,primary_theme,bpm,energy,danceability,valence,acousticness,loudness,key,mode,spectral_flatness,zero_crossing_rate,mfcc_mean,spectral_contrast,poly_features,instrumentalness,liveness,speechiness,sub_genre
Garota de Ipanema (Radio Edit),Gilberto Gil,2024,28415864,1,mpb,479342,1072296,"brazilian,pop,mpb,rnb",0.4,6,romance,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_2
Aquele Abraço (Ao Vivo),Gilberto Gil,2024,6461098,1,mpb,933154,3583391,"brazilian,pop,mpb,rnb",0.44,6,romance,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_2
Águas de Março #215,Gilberto Gil,2024,22675421,1,mpb,117002,1510890,"brazilian,pop,mpb,rnb",0.43,3,romance,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_2
Aquele Abraço (Remix),Gilberto Gil,2024,31915563,1,mpb,680147,501201,"brazilian,pop,mpb,rnb",0.85,0,cotidiano,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_3
Aquele Abraço - Acústico,Gilberto Gil,2024,16540717,1,mpb,473699,1148054,"brazilian,pop,mpb,rnb",0.61,2,protesto,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_3
Oceano #97,Gilberto Gil,2024,43086678,1,mpb,817544,2271078,"brazilian,pop,mpb,rnb",0.22,13,festa,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_1
Canto de Ossanha - Acústico,Gilberto Gil,2024,29373233,1,mpb,786885,1116662,"brazilian,pop,mpb,rnb",0.86,1,protesto,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_3
Aquele Abraço (Radio Edit),Gilberto Gil,2024,11668986,1,mpb,598514,3388296,"brazilian,pop,mpb,rnb",0.53,11,festa,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_1
Garota de Ipanema #247,Gilberto Gil,2024,42377053,1,mpb,23827,2640702,"brazilian,pop,mpb,rnb",0.75,13,protesto,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_3
Garota de Ipanema (Ao Vivo),Gilberto Gil,2024,48934826,1,mpb,615089,2024140,"brazilian,pop,mpb,rnb",0.45,13,protesto,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_1
Aquele Abraço #83,Gilberto Gil,2024,47177142,1,mpb,356504,233680,"brazilian,pop,mpb,rnb",0.28,2,ostentação,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_2
Oceano (Radio Edit),Gilberto Gil,2024,2184136,1,mpb,938372,1089657,"brazilian,pop,mpb,rnb",0.23,5,protesto,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_2
Garota de Ipanema #410,Gilberto Gil,2024,8706244,1,mpb,105398,1584901,"brazilian,pop,mpb,rnb",0.2,7,cotidiano,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_2
Oceano #420,Gilberto Gil,2024,21019862,1,mpb,753839,1362521,"brazilian,pop,mpb,rnb",0.89,12,romance,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_3
Canto de Ossanha #258,Gilberto Gil,2024,32054978,1,mpb,472668,3804570,"brazilian,pop,mpb,rnb",0.48,3,romance,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_2
Oceano - Acústico,Gilberto Gil,2024,40435397,1,mpb,492274,2100448,"brazilian,pop,mpb,rnb",0.79,10,cotidiano,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_3
Garota de Ipanema #50,Gilberto Gil,2024,37919877,1,mpb,73254,3520014,"brazilian,pop,mpb,rnb",0.17,1,ostentação,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_2
Águas de Março #257,Gilberto Gil,2024,2097128,1,mpb,582339,4575363,"brazilian,pop,mpb,rnb",0.66,2,festa,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_3
Construção #264,Gilberto Gil,2024,38861491,1,mpb,562975,1080809,"brazilian,pop,mpb,rnb",0.44,0,romance,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_2
Construção (Radio Edit),Gilberto Gil,2024,14897439,1,mpb,905459,3937091,"brazilian,pop,mpb,rnb",0.48,8,romance,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_1
Canto de Ossanha (Radio Edit),Gilberto Gil,2024,36221979,1,mpb,953823,399463,"brazilian,pop,mpb,rnb",0.3,0,romance,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_2
Canto de Ossanha (Remix),Gilberto Gil,2024,7358623,1,mpb,776169,2664051,"brazilian,pop,mpb,rnb",0.87,1,romance,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_3
Canto de Ossanha #16,Caetano Veloso,2024,8067816,1,mpb,346188,3606046,"brazilian,pop,mpb,rnb",0.37,13,cotidiano,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_1
Aquele Abraço (Ao Vivo),Caetano Veloso,2024,32169173,1,mpb,400557,4498941,"brazilian,pop,mpb,rnb",0.19,9,festa,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_1
Aquele Abraço #101,Caetano Veloso,2024,5088589,1,mpb,280878,4974430,"brazilian,pop,mpb,rnb",0.81,2,festa,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_3
Construção #85,Caetano Veloso,2024,5897949,1,mpb,679441,3140120,"brazilian,pop,mpb,rnb",0.89,13,protesto,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_3
Oceano (Remix),Caetano Veloso,2024,42722257,1,mpb,144477,4804945,"brazilian,pop,mpb,rnb",0.76,1,romance,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_3
Aquele Abraço - Acústico,Caetano Veloso,2024,25504906,1,mpb,292030,4910122,"brazilian,pop,mpb,rnb",0.51,12,protesto,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_1
Garota de Ipanema - Acústico,Caetano Veloso,2024,19618711,1,mpb,155045,945290,"brazilian,pop,mpb,rnb",0.35,6,romance,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_2
Canto de Ossanha (Remix),Caetano Veloso,2024,16835939,1,mpb,605495,793040,"brazilian,pop,mpb,rnb",0.43,11,romance,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_1
Oceano - Acústico,Caetano Veloso,2024,49144131,1,mpb,742177,1242515,"brazilian,pop,mpb,rnb",0.52,2,ostentação,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_2
Construção (Remix),Caetano Veloso,2024,17923869,1,mpb,185722,4822585,"brazilian,pop,mpb,rnb",0.46,0,romance,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_2
Águas de Março (Remix),Caetano Veloso,2024,36653182,1,mpb,294357,886887,"brazilian,pop,mpb,rnb",0.69,6,romance,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_3
Garota de Ipanema #68,Caetano Veloso,2024,33554822,1,mpb,620736,4623443,"brazilian,pop,mpb,rnb",0.57,6,protesto,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_3
Águas de Março #145,Caetano Veloso,2024,1757955,1,mpb,808071,884702,"brazilian,pop,mpb,rnb",0.26,11,protesto,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_1
Aquele Abraço (Radio Edit),Caetano Veloso,2024,12709565,1,mpb,307996,3654844,"brazilian,pop,mpb,rnb",0.6,7,protesto,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_3
Garota de Ipanema #3,Caetano Veloso,2024,31693608,1,mpb,848432,2556438,"brazilian,pop,mpb,rnb",0.41,3,romance,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_2
Canto de Ossanha (Radio Edit),Caetano Veloso,2024,28008917,1,mpb,786087,1405049,"brazilian,pop,mpb,rnb",0.68,13,cotidiano,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_1
Oceano #171,Caetano Veloso,2024,12736465,1,mpb,339119,2007457,"brazilian,pop,mpb,rnb",0.44,13,ostentação,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_1
Águas de Março #240,Caetano Veloso,2024,49043228,1,mpb,45374,3363629,"brazilian,pop,mpb,rnb",0.31,12,protesto,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_1
Garota de Ipanema #306,Caetano Veloso,2024,49793377,1,mpb,711271,1986348,"brazilian,pop,mpb,rnb",0.13,4,festa,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_2
Águas de Março - Acústico,Caetano Veloso,2024,45313236,1,mpb,412993,3978224,"brazilian,pop,mpb,rnb",0.44,7,romance,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_2
Aquele Abraço #134,Caetano Veloso,2024,29434407,1,mpb,52320,4540712,"brazilian,pop,mpb,rnb",0.88,9,romance,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_3
Aquele Abraço (Remix),Caetano Veloso,2024,25621391,1,mpb,11785,2802610,"brazilian,pop,mpb,rnb",0.13,7,ostentação,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_2
Águas de Março #428,Caetano Veloso,2024,27844999,1,mpb,620237,4991957,"brazilian,pop,mpb,rnb",0.21,3,cotidiano,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_2
Oceano (Ao Vivo),Caetano Veloso,2024,24247044,1,mpb,903449,1639148,"brazilian,pop,mpb,rnb",0.51,14,cotidiano,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_1
Oceano #371,Caetano Veloso,2024,45412992,1,mpb,748886,46933,"brazilian,pop,mpb,rnb",0.5,13,festa,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_1
Oceano (Radio Edit),Caetano Veloso,2024,8972750,1,mpb,975406,98639,"brazilian,pop,mpb,rnb",0.53,12,protesto,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_1
Garota de Ipanema #467,Caetano Veloso,2024,3472282,1,mpb,938349,1319432,"brazilian,pop,mpb,rnb",0.14,15,festa,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_1
Construção (Radio Edit),Caetano Veloso,2024,46484320,1,mpb,829947,1841272,"brazilian,pop,mpb,rnb",0.79,12,festa,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_3
Águas de Março #34,Caetano Veloso,2024,21367834,1,mpb,609993,121890,"brazilian,pop,mpb,rnb",0.89,2,festa,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_3
Garota de Ipanema (Ao Vivo),Djavan,2024,47725682,1,mpb,91925,4922664,"brazilian,pop,mpb,rnb",0.88,14,cotidiano,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_3
Garota de Ipanema #388,Djavan,2024,43939905,1,mpb,10465,4687000,"brazilian,pop,mpb,rnb",0.48,13,cotidiano,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_1
Construção #140,Djavan,2024,42455728,1,mpb,556518,246178,"brazilian,pop,mpb,rnb",0.24,6,cotidiano,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_2
Oceano #482,Djavan,2024,21789558,1,mpb,931725,269245,"brazilian,pop,mpb,rnb",0.58,10,festa,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_1
Garota de Ipanema (Radio Edit),Djavan,2024,24957312,1,mpb,143621,383259,"brazilian,pop,mpb,rnb",0.74,10,ostentação,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_3
Oceano - Acústico,Djavan,2024,1341235,1,mpb,361163,4325318,"brazilian,pop,mpb,rnb",0.86,1,romance,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_3
Construção (Remix),Djavan,2024,20739797,1,mpb,518734,1896601,"brazilian,pop,mpb,rnb",0.53,8,festa,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_3
Canto de Ossanha (Ao Vivo),Djavan,2024,48623711,1,mpb,109986,226675,"brazilian,pop,mpb,rnb",0.14,0,romance,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_2
Oceano (Ao Vivo),Djavan,2024,33074296,1,mpb,888820,409545,"brazilian,pop,mpb,rnb",0.85,12,festa,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_3
Garota de Ipanema #128,Djavan,2024,21384847,1,mpb,602060,3152667,"brazilian,pop,mpb,rnb",0.22,11,protesto,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_1
Aquele Abraço (Radio Edit),Djavan,2024,27036969,1,mpb,699143,2880597,"brazilian,pop,mpb,rnb",0.29,1,ostentação,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_2
Garota de Ipanema #110,Djavan,2024,8603404,1,mpb,436731,3962701,"brazilian,pop,mpb,rnb",0.61,5,romance,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_3
Garota de Ipanema - Acústico,Djavan,2024,33145031,1,mpb,432646,3129565,"brazilian,pop,mpb,rnb",0.29,5,cotidiano,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_2
Construção #126,Djavan,2024,21284316,1,mpb,210508,337871,"brazilian,pop,mpb,rnb",0.47,1,festa,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_2
Oceano #491,Djavan,2024,27937354,1,mpb,272774,1437632,"brazilian,pop,mpb,rnb",0.38,10,festa,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_1
Construção (Radio Edit),Djavan,2024,41615507,1,mpb,788742,3876412,"brazilian,pop,mpb,rnb",0.23,2,festa,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_2
Águas de Março (Radio Edit),Djavan,2024,25491071,1,mpb,895343,1312579,"brazilian,pop,mpb,rnb",0.4,14,protesto,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_1
Oceano (Radio Edit),Djavan,2024,3698556,1,mpb,329417,1530171,"brazilian,pop,mpb,rnb",0.66,10,ostentação,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_3
Oceano (Remix),Djavan,2024,34266533,1,mpb,757452,3705142,"brazilian,pop,mpb,rnb",0.24,4,protesto,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_2
Águas de Março (Remix),Djavan,2024,32139990,1,mpb,942546,183006,"brazilian,pop,mpb,rnb",0.48,11,romance,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_1
Garota de Ipanema #268,Djavan,2024,33431130,1,mpb,910237,2209808,"brazilian,pop,mpb,rnb",0.49,2,ostentação,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_2
Águas de Março #79,Djavan,2024,49268768,1,mpb,289998,2629491,"brazilian,pop,mpb,rnb",0.51,4,ostentação,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_2
Águas de Março #292,Djavan,2024,36634149,1,mpb,930564,2477492,"brazilian,pop,mpb,rnb",0.44,6,cotidiano,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_2
Águas de Março (Ao Vivo),Djavan,2024,23531954,1,mpb,787781,2452218,"brazilian,pop,mpb,rnb",0.41,15,cotidiano,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_1
Garota de Ipanema #202,Djavan,2024,10899859,1,mpb,580160,1161752,"brazilian,pop,mpb,rnb",0.37,3,cotidiano,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_2
Aquele Abraço #369,Djavan,2024,11428641,1,mpb,345117,402015,"brazilian,pop,mpb,rnb",0.4,10,ostentação,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_1
Construção #156,Djavan,2024,26843551,1,mpb,632893,1568802,"brazilian,pop,mpb,rnb",0.12,2,festa,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_2
Ain't Got No - Acústico,Luedji Luna,2024,46790373,1,mpb,659436,810576,"brazilian,pop,mpb,rnb",0.76,9,festa,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_3
Ain't Got No (Ao Vivo),Luedji Luna,2024,39244745,1,mpb,49145,2645363,"brazilian,pop,mpb,rnb",0.48,15,romance,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_1
Ain't Got No (Remix),Luedji Luna,2024,29803043,1,mpb,116599,3680060,"brazilian,pop,mpb,rnb",0.23,14,ostentação,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_1
Banho de Folhas #113,Luedji Luna,2024,42756596,1,mpb,296669,1824860,"brazilian,pop,mpb,rnb",0.68,12,ostentação,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_3
Ain't Got No (Radio Edit),Luedji Luna,2024,7853211,1,mpb,539630,2007325,"brazilian,pop,mpb,rnb",0.13,15,protesto,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_1
Banho de Folhas #378,Luedji Luna,2024,40821043,1,mpb,153771,4265297,"brazilian,pop,mpb,rnb",0.24,4,romance,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_2
Bom Mesmo É Estar Debaixo D'água (Ao Vivo),Luedji Luna,2024,2691315,1,mpb,928224,229709,"brazilian,pop,mpb,rnb",0.9,5,protesto,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_3
Banho de Folhas - Acústico,Luedji Luna,2024,35711263,1,mpb,567727,954285,"brazilian,pop,mpb,rnb",0.67,5,festa,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_3
Banho de Folhas #48,Luedji Luna,2024,26401020,1,mpb,409479,81135,"brazilian,pop,mpb,rnb",0.31,10,protesto,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_1
Bom Mesmo É Estar Debaixo D'água - Acústico,Luedji Luna,2024,27233780,1,mpb,545242,3369578,"brazilian,pop,mpb,rnb",0.82,2,romance,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_3
Ain't Got No #102,Luedji Luna,2024,3155568,1,mpb,504508,3522109,"brazilian,pop,mpb,rnb",0.59,4,ostentação,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_3
Ain't Got No #123,Luedji Luna,2024,28334883,1,mpb,378280,3104134,"brazilian,pop,mpb,rnb",0.23,11,ostentação,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_1
Acalanto (Radio Edit),Luedji Luna,2024,8982004,1,mpb,315045,4909812,"brazilian,pop,mpb,rnb",0.33,0,protesto,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_2
Ain't Got No #211,Luedji Luna,2024,10316228,1,mpb,530729,3445996,"brazilian,pop,mpb,rnb",0.61,3,cotidiano,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_3
Acalanto (Remix),Luedji Luna,2024,49527765,1,mpb,236743,2781236,"brazilian,pop,mpb,rnb",0.67,12,festa,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_3
Acalanto #408,Luedji Luna,2024,9101635,1,mpb,800351,3613294,"brazilian,pop,mpb,rnb",0.9,5,romance,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_3
Bom Mesmo É Estar Debaixo D'água #60,Luedji Luna,2024,8425619,1,mpb,116034,3332967,"brazilian,pop,mpb,rnb",0.65,14,ostentação,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_1
Banho de Folhas (Radio Edit),Luedji Luna,2024,33675393,1,mpb,245313,1773178,"brazilian,pop,mpb,rnb",0.81,3,protesto,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_3
