track_name,artist_name,bpm,energy,danceability,valence,acousticness,instrumentalness,liveness,speechiness,loudness,is_hit
Trouble (Feat. MC Spyder) - Original Mix,Wiwek,128.002,0.983,0.717,0.077,0.0535,0.491,0.108,0.0942,-1.615,0
Surra de Bunda - Gregor Salto and Sidney Samson Remix,As Tequileiras do Funk,126.0,0.758,0.888,0.396,0.00151,0.000349,0.0979,0.257,-4.484,0
Elements - Original Mix,Franky Rizardo,123.987,0.869,0.8,0.237,0.00144,0.82,0.036,0.0596,-4.3,0
Funky Little Beat,Connie,116.977,0.652,0.761,0.574,0.00769,0.000111,0.119,0.0354,-8.324,0
Funky Little Beat,Debbie Deb,120.014,0.743,0.813,0.642,0.0688,0.00339,0.272,0.0434,-10.008,0
Rapido y Lento (feat. Didy) - Smoothies & Vaizar Remix,Max Brigante,118.391,0.807,0.6,0.836,0.0528,0.0,0.115,0.381,-1.89,0
Impulso (feat. Funky),Evan Craft,96.004,0.802,0.721,0.661,0.135,1.24e-06,0.338,0.046,-6.226,0
Promesas,Funky,87.96,0.896,0.709,0.626,0.0996,0.0,0.0587,0.127,-2.175,1
Perfecto,GabrielRodriguezEMC,149.994,0.734,0.732,0.489,0.753,0.0,0.0985,0.111,-5.139,0
Lo Que Traigo Es Flow,Funky,98.236,0.924,0.775,0.755,0.405,0.0,0.0669,0.309,-2.783,0
Luz y Sal (feat. Edward Sanchez),Funky,91.983,0.803,0.752,0.639,0.0442,0.0,0.302,0.0871,-6.752,1
Eres Mi Bendicion (feat. Alex Zurdo),Funky,96.031,0.792,0.744,0.744,0.0962,0.0,0.101,0.0751,-4.816,1
Yo Soy Así,Funky,139.962,0.899,0.727,0.645,0.393,0.0,0.489,0.147,-4.429,1
Es Imposible,Funky,114.975,0.868,0.691,0.811,0.0206,0.0,0.226,0.0536,-4.076,1
No Me Conformo (Quiero Más),Funky,124.992,0.929,0.793,0.806,0.0124,0.0,0.0691,0.112,-4.463,0
Heme Aquí (Remastered),Funky,83.991,0.661,0.7,0.362,0.0502,0.0,0.132,0.194,-7.576,0
Se Nota En Tus Ojos,Funky,88.039,0.84,0.751,0.509,0.0953,0.0,0.653,0.108,-4.674,1
No Fallará,Funky,139.905,0.773,0.768,0.39,0.0666,0.0,0.106,0.282,-5.402,0
Mi Producto,GabrielRodriguezEMC,104.345,0.835,0.689,0.605,0.25,0.0,0.179,0.37,-3.168,0
Ohne mein Team,Bonez MC,129.966,0.788,0.774,0.594,0.14,2.45e-05,0.0819,0.104,-6.207,0
Gia Sena Liono,MC Gkimpakos,158.658,0.842,0.515,0.673,0.304,0.0,0.302,0.381,-1.828,0
La Rosa De Los Vientos,Makiza,89.948,0.578,0.657,0.819,0.236,0.00746,0.212,0.13,-6.682,1
Papi ¿Dónde Está El Funk?,Los Tetas,76.886,0.683,0.646,0.668,0.33,2.65e-05,0.624,0.274,-8.517,1
I Love You a Lo Vío (feat. Movimiento Original),Chystemc,91.521,0.8,0.727,0.494,0.501,0.0,0.352,0.138,-5.061,1
Humble And Kind,Tim McGraw,100.956,0.48,0.355,0.137,0.679,2.28e-06,0.12,0.0282,-7.31,1
Uptown Funk - Radio Edit,Mark Ronson,115.001,0.65,0.854,0.916,0.00794,3.43e-05,0.0692,0.105,-5.339,0
